Site,Condition,Bird,UnitTemp,Date,Time,AntennaNum,Notes
1157Jenkins,BF,3B00184CBD,31.9,24/08/2024,13:45:06,1,
1157Jenkins,BF,3B00184CBD,31.9,24/08/2024,13:45:11,1,
1157Jenkins,BF,3B00184CBD,31.9,24/08/2024,13:45:23,1,
1157Jenkins,BF,3B00184CBD,31.6,24/08/2024,13:46:40,1,
1157Jenkins,BF,3B00184CBD,31.6,24/08/2024,13:46:46,1,
1157Jenkins,BF,3B00184CBD,31.2,24/08/2024,13:49:14,1,
1157Jenkins,BF,3B00184CBD,31.2,24/08/2024,13:50:16,1,
1157Jenkins,BF,3B00184CBD,32,29/08/2024,9:49:44,1,
1157Jenkins,BF,3B00184CBD,32,29/08/2024,9:50:33,1,
1157Jenkins,BF,3B00184CBD,34.5,29/08/2024,10:39:56,1,
1157Jenkins,BF,3B00184CBD,36,30/10/2023,9:02:25,1,
1157Jenkins,BF,3B00184CBD,36.1,30/10/2023,9:02:56,1,
1157Jenkins,BF,3B00184CBD,35.9,30/10/2023,11:47:14,1,
1157Jenkins,BF,3B00184CBD,35.9,30/10/2023,11:47:19,1,
1157Jenkins,BF,3B00184CBD,35.6,30/10/2023,11:48:59,1,
1157Jenkins,BF,3B00184CBD,35.6,30/10/2023,11:50:19,1,
1157Jenkins,BF,3B00184CBD,35.3,30/10/2023,11:51:07,1,
1157Jenkins,BF,3B00184CBD,35.3,30/10/2023,11:51:42,1,
1157Jenkins,BF,3B00184CBD,35.7,30/10/2023,12:32:57,1,
1157Jenkins,BF,3B00184CBD,35.7,30/10/2023,12:33:19,1,
1157Jenkins,BF,3B00184CBD,35.7,30/10/2023,12:33:24,1,
1157Jenkins,BF,3B0018521E,27.7,3/11/2023,12:45:17,1,
1157Jenkins,BF,3B0018521E,27.7,3/11/2023,12:45:23,1,
1157Jenkins,BF,3B0018521E,10.9,17/10/2024,8:56:50,1,
1157Jenkins,BF,3B0018521E,13.7,17/10/2024,9:40:27,1,
1157Jenkins,BF,3B0018521E,13.8,17/10/2024,9:44:48,1,
1157Jenkins,BF,3B0018521E,13.8,17/10/2024,9:44:53,1,
1157Jenkins,BF,3B0018521E,17.6,17/10/2024,11:22:28,1,
1157Jenkins,BF,3B0018521E,31.1,23/07/2024,10:45:18,1,
1157Jenkins,BF,3B0018521E,28.6,26/08/2024,9:06:03,1,
1157Jenkins,BF,3B0018521E,31.5,26/08/2024,10:45:40,1,
1157Jenkins,BF,3B0018521E,31.8,26/08/2024,10:54:06,1,
2073Evergreen,BFC,3B001870EF,21.4,1/5/2024,8:03:16,1,
2073Evergreen,BFC,3B001870EF,29.6,2/5/2024,17:57:59,1,
2073Evergreen,BFC,3B001870EF,17,25/04/2024,7:37:15,1,
2073Evergreen,BFC,3B001870EF,30.5,26/04/2024,10:38:48,1,
2081Covey,BF,3B0018819E,28.1,25/10/2024,18:49:48,1,
2081Covey,BF,3B0018819E,28.1,25/10/2024,18:49:49,1,
2081Covey,BF,3B0018819E,28.1,25/10/2024,18:50:48,1,
2081Covey,BF,3B0018819E,27.7,25/10/2024,18:52:52,1,
2081Covey,BF,3B0018819E,27.7,25/10/2024,18:52:54,1,
2081Covey,BF,3B0018819E,27.7,25/10/2024,18:52:55,1,
2081Covey,BF,3B0018819E,27.7,25/10/2024,18:52:58,1,
2081Covey,BF,3B0018819E,27.7,25/10/2024,18:52:59,1,
2081Covey,BF,3B0018819E,27.7,25/10/2024,18:53:03,1,
2081Covey,BF,3B0018819E,34.9,26/10/2024,11:27:05,1,
2081Covey,BF,3B0018819E,34.9,26/10/2024,11:27:06,1,
2081Covey,BF,3B0018819E,34.9,26/10/2024,11:27:08,1,
137Oak,BF,3B00189CCA,34.4,19/07/2024,0:08:36,1,
137Oak,BF,3B00189CCA,34.4,19/07/2024,0:08:37,1,
137Oak,BF,3B00189CCA,30.7,19/07/2024,1:46:05,1,
137Oak,BF,3B00189CCA,30.7,19/07/2024,1:46:07,1,
137Oak,BF,3B00189CCA,29.4,19/07/2024,23:50:22,1,
137Oak,BF,3B00189CCA,29.4,19/07/2024,23:50:58,1,
137Oak,BF,3B00189CCA,29.4,19/07/2024,23:51:01,1,
137Oak,BF,3B00189CCA,29.4,19/07/2024,23:51:18,1,
137Oak,BF,3B00189CCA,29.4,19/07/2024,23:51:19,1,
137Oak,BF,3B00189CCA,29.4,19/07/2024,23:51:29,1,
137Oak,BF,3B00189CCA,29.4,19/07/2024,23:51:55,1,
137Oak,BF,3B00189CCA,29.4,19/07/2024,23:52:00,1,
137Oak,BF,3B00189CCA,38.1,21/07/2024,15:59:29,1,
137Oak,BF,3B00189CCA,40,21/07/2024,16:32:27,1,
137Oak,BF,3B00189CCA,39.7,21/07/2024,16:32:51,1,
137Oak,BF,3B00189CCA,40.3,22/07/2024,20:48:09,1,
137Oak,BF,3B00189CCA,23.6,23/07/2024,12:41:00,1,
137Oak,BF,3B00189CCA,23.7,23/07/2024,12:41:02,1,
137Oak,BF,3B00189CCA,23.7,23/07/2024,12:41:03,1,
137Oak,BF,3B00189CCA,23.7,23/07/2024,12:41:05,1,
137Oak,BF,3B00189CCA,23.7,23/07/2024,12:41:07,1,
861Ogletree,BF,3B0018DEFF,26.8,10/11/2023,7:10:08,1,
861Ogletree,BF,3B0018DEFF,21.9,11/11/2023,7:44:58,1,
861Ogletree,BF,3B0018DEFF,21.9,11/11/2023,7:45:18,1,
861Ogletree,BF,3B0018DEFF,21.6,12/11/2023,10:04:59,1,
861Ogletree,BF,3B0018DEFF,20.8,12/11/2023,10:24:41,1,
861Ogletree,BF,3B0018DEFF,25.3,10/10/2024,14:59:31,1,
861Ogletree,BF,3B0018DEFF,23.8,11/10/2024,17:22:50,1,
861Ogletree,BF,3B0018DEFF,23.8,11/10/2024,17:23:45,1,
861Ogletree,BF,3B0018DEFF,21.5,11/10/2024,18:48:43,1,
861Ogletree,BF,3B0018DEFF,12.4,13/10/2024,7:52:22,1,
861Ogletree,BF,3B0018DEFF,20.5,13/11/2023,8:41:57,1,
861Ogletree,BF,3B0018DEFF,20.5,13/11/2023,8:42:13,1,
861Ogletree,BF,3B0018DEFF,24.6,14/10/2024,15:52:15,1,
861Ogletree,BF,3B0018DEFF,24.6,14/10/2024,15:53:20,1,
861Ogletree,BF,3B0018DEFF,24.6,14/10/2024,15:53:40,1,
861Ogletree,BF,3B0018DEFF,21.8,14/10/2024,18:53:59,1,
861Ogletree,BF,3B0018DEFF,23.7,15/11/2023,7:04:17,1,
861Ogletree,BF,3B0018DEFF,13,16/10/2024,11:34:23,1,
861Ogletree,BF,3B0018DEFF,16.1,17/10/2024,18:59:06,1,
861Ogletree,BF,3B0018DEFF,19.3,17/11/2023,6:26:57,1,
861Ogletree,BF,3B0018DEFF,20.4,18/10/2024,17:38:23,1,
861Ogletree,BF,3B0018DEFF,17.2,20/10/2024,10:37:20,1,
861Ogletree,BF,3B0018DEFF,23.9,21/10/2024,13:06:27,1,
861Ogletree,BF,3B0018DEFF,25.6,22/10/2024,13:30:29,1,
861Ogletree,BF,3B0018DEFF,28.2,24/10/2024,17:29:54,1,
861Ogletree,BF,3B0018DEFF,28.2,24/10/2024,17:30:04,1,
861Ogletree,BF,3B0018DEFF,28.3,24/10/2024,17:30:34,1,
1157Jenkins,BF,3B00191395,32.6,30/09/2024,10:40:14,1,
1157Jenkins,BF,3B00191395,32.6,30/09/2024,10:40:14,1,
2015Felicity,BF,3B001939F1,24.3,11/10/2024,15:57:58,1,
2015Felicity,BF,3B001939F1,24.3,11/10/2024,16:02:12,1,
2015Felicity,BF,3B001939F1,24.3,11/10/2024,16:04:21,1,
2015Felicity,BF,3B001939F1,24.3,11/10/2024,16:07:55,1,
2015Felicity,BF,3B001939F1,24.3,11/10/2024,16:18:01,1,
2015Felicity,BF,3B001939F1,24.3,11/10/2024,16:20:16,1,
2015Felicity,BF,3B001939F1,24.3,11/10/2024,16:22:47,1,
2015Felicity,BF,3B001939F1,25.6,14/10/2024,13:06:36,1,
2015Felicity,BF,3B001939F1,25.6,14/10/2024,13:10:45,1,
2015Felicity,BF,3B001939F1,25.7,14/10/2024,13:15:48,1,
2015Felicity,BF,3B001939F1,21.1,15/10/2024,12:25:08,1,
2015Felicity,BF,3B001939F1,20.9,15/10/2024,12:26:42,1,
2015Felicity,BF,3B001939F1,17.1,16/10/2024,16:23:39,1,
2015Felicity,BF,3B001939F1,17.3,17/10/2024,12:56:02,1,
2015Felicity,BF,3B001939F1,21.1,19/10/2024,12:32:05,1,
2015Felicity,BF,3B001939F1,22.8,19/10/2024,13:43:27,1,
2015Felicity,BF,3B001939F1,23.3,21/10/2024,9:57:17,1,
2015Felicity,BF,3B001939F1,19.8,21/10/2024,10:38:57,1,
2015Felicity,BF,3B001939F1,20.1,21/10/2024,10:44:11,1,
2015Felicity,BF,3B001939F1,23.4,22/10/2024,9:16:17,1,
2015Felicity,BF,3B001939F1,38.2,25/10/2024,9:53:25,1,
2015Felicity,BF,3B001939F1,17.3,27/10/2024,8:21:36,1,
1011Lee,BFC,3B00198DBB,31.8,1/11/2023,9:55:13,1,
1011Lee,BFC,3B00198DBB,32,1/11/2023,9:57:46,1,
1011Lee,BFC,3B00198DBB,30.3,19/11/2023,8:52:37,1,
1011Lee,BFC,3B00198DBB,30.3,19/11/2023,8:52:55,1,
1011Lee,BFC,3B00198DBB,31.2,19/11/2023,12:18:38,1,
1011Lee,BFC,3B00198DBB,32.2,31/10/2023,9:48:41,1,
1011Lee,BFC,3B00198DBB,28.9,31/10/2023,14:36:31,1,
1011Lee,BFC,3B00198DBB,28.9,31/10/2023,14:36:47,1,
1011Lee,BFC,3B00198DBB,28.9,31/10/2023,14:36:53,1,
861Ogletree,BF,3B001A84A5,25.3,27/10/2024,11:49:28,1,
1157Jenkins,BF,3B004892BF,31.1,4/8/2024,10:20:00,1,
1157Jenkins,BF,3B004892BF,33.4,4/8/2024,12:03:57,1,
1157Jenkins,BF,3B004892BF,34,4/8/2024,13:10:07,1,
1157Jenkins,BF,3B004892BF,33.7,4/8/2024,13:12:08,1,
1157Jenkins,BF,3B004892BF,33.7,4/8/2024,13:12:10,1,
1157Jenkins,BF,3B004892BF,33.7,4/8/2024,13:12:12,1,
1157Jenkins,BF,3B004892BF,33.7,4/8/2024,13:12:14,1,
1157Jenkins,BF,3B004892BF,33.7,4/8/2024,13:12:20,1,
