3B00191395,20.3,24/11/2024,16:44:36,1
3B004C36C1,16.9,26/11/2024,08:28:57,1
3B00183A58,18.9,26/11/2024,12:47:53,1
3B004C36C1,6.8,29/11/2024,07:22:20,1
3B004C36C1,6.8,29/11/2024,07:22:30,1
3B004C36C1,6.7,29/11/2024,07:32:32,1
3B004C36C1,6.6,29/11/2024,07:40:43,1
3B004C36C1,6.7,29/11/2024,08:30:36,1
3B004C36C1,10.1,29/11/2024,12:33:25,1
3B004C36C1,10.1,29/11/2024,12:33:55,1
3B004C36C1,11.8,02/12/2024,13:48:18,1
3B004C36C1,11.9,02/12/2024,17:03:04,1
3B004C36C1,11.4,02/12/2024,17:12:26,1
3B004C36C1,11.4,02/12/2024,17:12:31,1
3B00183A58,2.5,03/12/2024,09:39:03,1
3B0018521E,6.2,03/12/2024,10:55:15,1
3B0018521E,6.2,03/12/2024,10:56:05,1
3B004C36C1,5.1,03/12/2024,11:11:33,1
3B0018521E,5.1,03/12/2024,11:11:53,1
3B00191395,9.6,04/12/2024,11:49:57,1
3B00191395,9.6,04/12/2024,11:50:02,1
3B00191395,13.4,04/12/2024,14:37:43,1
3B00191395,13.9,04/12/2024,15:23:21,1
3B00191395,12.9,07/12/2024,17:21:33,1
